Injury Level,Final Narrative
2,"Three correctional facility guards were escorting a restrained federal prison inmate when he became disruptive, requiring the use of force. 
Two guards and the inmate fell onto the Lieutenant's right leg, fracturing his fibula. He was transported to the hospital and released the following day."
2,Employee in the Machine Shop received second degree burns to the back of his legs after the torch he was using exploded.
2,A truck driver fell approximately 4 feet while descending a tanker trailer ladder.  The employee was kept overnight awaiting test results.
2,An employee's leg was pinned between a truck and the powered pallet jack being operated.  The employee was hospitalized for treatment/surgery at Navicent Health.
2,"An employee working on the Line 6 Auto-Beller reached into the machine to unjam two pipes and got his hand crushed, fracturing three left-hand fingers."
2,"An employee was hospitalized after slipping and falling while working as a member of the night freight crew, resulting in an injury to his right elbow."
1,Employee working the flipping machine at the casting line had fingertip amputated after it was crushed by a jammed block.
2,Employee sustained burns during line tie-in operations at an oil and gas site.
2,One employee was hospitalized after being struck by a tire when he was airing the tire up during his pre-drive inspection. 
1,An associate was using a knife to open a bag of chili and cut off her fingertip.
2,"An employee was struck by an excavator on 01/02/2015 and hospitalized for injuries to his leg, several broken bones in his foot, and a fracture in his left arm."
2,"On or about 1/2/15 at 9:10 p.m., an employee was preparing to troubleshoot the hamburger bun bagger machine that was not working. He received an electrical shock when he came in contact with a proximity switch. Employee was working alone at the time of the incident.  He was admitted to the hospital for one day."
2,An employee stumbled and fell to the ground on the left side of her body and was admitted to Irving Baylor Medical Center with a possible hip fracture.
2,"Two employees in a scissor lift were wrecking forms, taking forms down, and removing the forms. They lost their grip on the form, which fell and hit an employee walking below on the shoulder, knocking him to the ground. He hit his head on the concrete, causing a wound to the head, a broken collarbone, and a broken rib."
1,Employee amputated tip of finger when his finger got caught in the chain of a stationary exercise bicycle that he was servicing. There was no bone loss and the employee was not hospitalized.
1,An employee suffered a right index finger amputation. The employee's finger was injured by a thigh deboning machine. The finger was still attached at the time of the incident and was later amputated at the hospital.
2,An employee was injured by a customer's automobile when the car jumped the curb and pinned the employee against the Red Box movie kiosk on the convenience store's sidewalk.
1,"Employee suffered the amputation of three fingers while working on the south in-bed fuel airlock in the energy building. He was using a hammer to hit the outside of the chute to loosen built up saw dust.  The chute leads to an airlock, which feeds the blow line to the boiler. He removed the panel cover over the airlock to see if the saw dust was falling in.  He slipped and his left hand entered the airlock. Contact with the rotating parts in the airlock resulted in the multiple-finger amputation."
1,An employee who was using a cordless circular saw to install wood panels around an elevator lobby received a partial amputation of his left index finger when the tip of his finger became caught in the saw.
2,"On Friday, January 2, 2015, at 10:30 p.m., a crew of employees were changing out wooden decking boards on a platform off shore. One of the employees was walking the platform, slipped, and stepped on a protruding nail that entered the employee's right foot. First aid was applied to the employee, and the employee was later sent to a clinic for treatment. The employee was admitted to a hospital at 3:00 a.m. on January 5, 2015, from swelling on his foot due to the incident."
2,"The employee was coming down a ladder after placing media in a nitrogen generator. Employee missed a rung, fell about 10 feet to the floor, and sustained a compound fracture to the right arm."
2,"Employee tripped on a paver and fractured her wrist, requiring hospitalization."
2,"Employees use a draw machine to extrude wire.  The employee bypassed the guard or disabled it to remove soap build-up on the wire coming from the die. The employee amputated the middle, ring, and pinky fingers on the right hand and the first digit of the index finger. Employee was hospitalized and released. The injury occurred on 1/3/15 at approximately 6:00 p.m."
2,"While in the process of unloading pre-tied mats of rebar, one of the bundles fell off of the tying jig and pinned three workers underneath. Two of the workers were unharmed. A third employee suffered a fractured rib and a fractured vertebra."
2,"Employee lost his nail, skin, and flesh from the tip of his right ring finger while closing the cardboard bailer door."
1,"An employee suffered a trans-phalangeal amputation of the middle finger on the right hand. The employee was attempting to connect two baggage-transferring carts manually by pulling them into each other. The employee placed his hand on one baggage cart and pulled it to the second cart with his other hand in an effort to connect the two. The employee's hand was caught between the two carts, causing a middle finger amputation on his right hand at the first knuckle."
2,"Employee was installing a new cable on a home while working from a Lunar, 28 foot fiberglass extension ladder. A gust of wind made his ladder move and he felt like it was going to fall so he jumped off the ladder toward the grass to avoid the concrete patio and landed on his back."
2,Worker caught a hand in a running conveyor while cleaning and rinsing it. Worker suffered broken radial and ulnar bones in the right arm. The victim was hospitalized.
2,"An employee was hospitalized after being hit by a forklift that was unloading boxes of pulp from a flatbed stationed in the roadway. The forklift backed up and ran over the employee's leg as he was leaving work, resulting in a fractured ankle and leg."
2,An employee was assaulted by a patient (choking) resulting in a multi-day hospitalization.
1,Employee was performing inspection and preventive maintenance on a conveyor line.  His fingertip was amputated in a chain and sprocket when the line started up.
2,An employee was exposed to an amputation hazard while coupling rail cars. He used his foot to align the couplers. His foot slipped and got caught between the two couplers. His toe was smashed when the cars connected.
1,"On or about 1/4/15 at 1:50 PM, employee was slicing ham when a piece of meat slipped, allowing the employee's hand to come into contact with the deli slicer.  Employee lost tip of thumb; there was no bone loss."
2,"On January 4, 2015, at approximately 5:10 p.m., an employee slipped on a wet floor while transporting a patient from one level to another.  The employee experienced a hamstring tear."
2,Employee was descending a work over rig derrick via a ladder when he fell a distance. Employee suffered a lacerated spleen and fractured hip and shoulder.
2,An employee slipped on the ice in the parking lot and hit his head.  He was transported and admitted to Morton Hospital.
2,Employee was burned from his knees up to his lower abdomen after removing the strainer for maintenance on the Scott Unit.
2,"An employee in the #2 steel-producing BOF shop was making ladle additions to the first heat steel of the day on furnace #94 when the materials reacted, causing flames and high heat to come up through the chute. The employee received first and second degree burns to the face, right wrist and forearm, and a little bit on his right abdomen."
2,An employee was hospitalized following injuries sustained while traveling by foot to the locker room. The employee was between the belt shop and the locker room crossing railroad tracks that had recently been covered with snow. The employee either slipped or tripped and experienced three breaks to the ankle and tibia.
2,"Employee was loading a trailer with a forklift when the left leg of the trailer collapsed, causing the trailer to tilt to the left. This caused the forklift and employee to slide to the left, striking the trailer wall and causing an acute spinal injury to the employee."
