,Date,Country,Locality,Sector,Acc_level,Pot_Acc_Level,Gender,Emp_type,Risk_Type,Description,Year,Month,Day,Weekday,WeekofYear,Season,Quarter,CleanDescription,New_Description
0,2016-01-01,1,1,2,1,4,1,2,20,"While removing the drill rod of the Jumbo 08 for maintenance, the supervisor proceeds to loosen the support of the intermediate centralizer to facilitate the removal, seeing this the mechanic supports one end on the drill of the equipment to pull with both hands the bar and accelerate the removal from this, at this moment the bar slides from its point of support and tightens the fingers of the mechanic between the drilling bar and the beam of the jumbo.",1,1,1,1,52,3,1,"['remove', 'drill', 'rod', 'jumbo', 'maintenance', 'supervisor', 'proceed', 'loosen', 'support', 'intermediate', 'centralizer', 'facilitate', 'removal', 'see', 'mechanic', 'support', 'one', 'end', 'drill', 'equipment', 'pull', 'hand', 'bar', 'accelerate', 'removal', 'moment', 'bar', 'slide', 'point', 'support', 'tighten', 'finger', 'mechanic', 'drill', 'bar', 'beam', 'jumbo']",remove drill rod jumbo maintenance supervisor proceed loosen support intermediate centralizer facilitate removal see mechanic support one end drill equipment pull hand bar accelerate removal moment bar slide point support tighten finger mechanic drill bar beam jumbo
1,2016-02-01,2,2,2,1,4,1,1,21,"During the activation of a sodium sulphide pump, the piping was uncoupled and the sulfide solution was designed in the area to reach the maid. Immediately she made use of the emergency shower and was directed to the ambulatory doctor and later to the hospital. Note: of sulphide solution = 48 grams / liter.",1,2,1,2,4,3,1,"['activation', 'sodium', 'sulphide', 'pump', 'pip', 'uncouple', 'sulfide', 'solution', 'design', 'area', 'reach', 'maid', 'immediately', 'make', 'use', 'emergency', 'shower', 'direct', 'ambulatory', 'doctor', 'later', 'hospital', 'note', 'sulphide', 'solution', 'grams', 'liter']",activation sodium sulphide pump pip uncouple sulfide solution design area reach maid immediately make use emergency shower direct ambulatory doctor later hospital note sulphide solution grams liter
2,2016-06-01,1,3,2,1,3,1,3,15,"In the sub-station MILPO located at level +170 when the collaborator was doing the excavation work with a pick (hand tool), hitting a rock with the flat part of the beak, it bounces off hitting the steel tip of the safety shoe and then the metatarsal area of ​​the left foot of the collaborator causing the injury.",1,6,1,7,21,4,2,"['sub', 'station', 'milpo', 'locate', 'level', 'collaborator', 'excavation', 'work', 'pick', 'hand', 'tool', 'hit', 'rock', 'flat', 'part', 'beak', 'bounce', 'hit', 'steel', 'tip', 'safety', 'shoe', 'metatarsal', 'area', 'leave', 'foot', 'collaborator', 'cause', 'injury']",sub station milpo locate level collaborator excavation work pick hand tool hit rock flat part beak bounce hit steel tip safety shoe metatarsal area leave foot collaborator cause injury
3,2016-08-01,1,4,2,1,1,1,2,16,"Being 9:45 am. approximately in the Nv. 1880 CX-695 OB7, the personnel begins the task of unlocking the Soquet bolts of the BHB machine, when they were in the penultimate bolt they identified that the hexagonal head was worn, proceeding Mr. Cristóbal - Auxiliary assistant to climb to the platform to exert pressure with your hand on the ""DADO"" key, to prevent it from coming out of the bolt; in those moments two collaborators rotate with the lever in anti-clockwise direction, leaving the key of the bolt, hitting the palm of the left hand, causing the injury.",1,8,1,2,30,4,3,"['approximately', 'personnel', 'begin', 'task', 'unlock', 'soquet', 'bolt', 'bhb', 'machine', 'penultimate', 'bolt', 'identify', 'hexagonal', 'head', 'wear', 'proceed', 'crist', 'bal', 'auxiliary', 'assistant', 'climb', 'platform', 'exert', 'pressure', 'hand', 'dado', 'key', 'prevent', 'come', 'bolt', 'moments', 'two', 'collaborators', 'rotate', 'lever', 'anti', 'clockwise', 'direction', 'leave', 'key', 'bolt', 'hit', 'palm', 'leave', 'hand', 'cause', 'injury']",approximately personnel begin task unlock soquet bolt bhb machine penultimate bolt identify hexagonal head wear proceed crist bal auxiliary assistant climb platform exert pressure hand dado key prevent come bolt moments two collaborators rotate lever anti clockwise direction leave key bolt hit palm leave hand cause injury
4,2016-10-01,1,4,2,4,4,1,2,16,"Approximately at 11:45 a.m. in circumstances that the mechanics Anthony (group leader), Eduardo and Eric Fernández-injured-the three of the Company IMPROMEC, performed the removal of the pulley of the motor of the pump 3015 in the ZAF of Marcy. 27 cm / Length: 33 cm / Weight: 70 kg), as it was locked proceed to heating the pulley to loosen it, it comes out and falls from a distance of 1.06 meters high and hits the instep of the right foot of the worker, causing the injury described.",1,10,1,3,38,2,4,"['approximately', 'circumstances', 'mechanics', 'anthony', 'group', 'leader', 'eduardo', 'eric', 'fern', 'ndez', 'injure', 'three', 'company', 'impromec', 'perform', 'removal', 'pulley', 'motor', 'pump', 'zaf', 'marcy', 'length', 'weight', 'lock', 'proceed', 'heat', 'pulley', 'loosen', 'come', 'fall', 'distance', 'meter', 'high', 'hit', 'instep', 'right', 'foot', 'worker', 'cause', 'injury', 'describe']",approximately circumstances mechanics anthony group leader eduardo eric fern ndez injure three company impromec perform removal pulley motor pump zaf marcy length weight lock proceed heat pulley loosen come fall distance meter high hit instep right foot worker cause injury describe
5,2016-12-01,2,5,1,1,3,1,3,21,"During the unloading operation of the ustulado Bag there was a need to unclog the discharge mouth of the silo truck. In performing this procedure, there was a maneuver of unhooking the hose without the total depressurisation of the mouth, projecting ustulado powder in the collaborator caused irritation in the eyes.",1,12,1,5,47,3,4,"['unload', 'operation', 'ustulado', 'bag', 'need', 'unclog', 'discharge', 'mouth', 'silo', 'truck', 'perform', 'procedure', 'maneuver', 'unhook', 'hose', 'without', 'total', 'depressurisation', 'mouth', 'project', 'ustulado', 'powder', 'collaborator', 'cause', 'irritation', 'eye']",unload operation ustulado bag need unclog discharge mouth silo truck perform procedure maneuver unhook hose without total depressurisation mouth project ustulado powder collaborator cause irritation eye
6,2016-01-16,2,5,1,1,3,1,1,11,"The collaborator reports that he was on street 09 holding in his left hand the volumetric balloon, when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand.",1,1,16,3,1,3,1,"['collaborator', 'report', 'street', 'hold', 'leave', 'hand', 'volumetric', 'balloon', 'slip', 'place', 'hand', 'grind', 'volumetric', 'balloon', 'end', 'break', 'cause', 'small', 'wind', 'leave', 'hand']",collaborator report street hold leave hand volumetric balloon slip place hand grind volumetric balloon end break cause small wind leave hand
7,2016-01-17,1,4,2,1,3,1,2,20,"At approximately 04:50 p.m., when the mechanic technician José of the Tecnomin verified the transmission belts of the HM-100 pump at the Acid plant, he proceeded to turn the pulley manually; unexpectedly at that instant the electrician supervisor Miguel of the EKA Mining grabs the transmission belts to verify their tension, at which point the finger traps.",1,1,17,4,1,3,1,"['approximately', 'mechanic', 'technician', 'jos', 'tecnomin', 'verify', 'transmission', 'belt', 'pump', 'acid', 'plant', 'proceed', 'turn', 'pulley', 'manually', 'unexpectedly', 'instant', 'electrician', 'supervisor', 'miguel', 'eka', 'mine', 'grab', 'transmission', 'belt', 'verify', 'tension', 'point', 'finger', 'trap']",approximately mechanic technician jos tecnomin verify transmission belt pump acid plant proceed turn pulley manually unexpectedly instant electrician supervisor miguel eka mine grab transmission belt verify tension point finger trap
8,2016-01-19,2,2,2,1,4,1,3,16,"Employee was sitting in the resting area at level 326 (raise bore), when he suffered sudden illness, falling and suffering excoriation on the face.",1,1,19,6,2,3,1,"['employee', 'sit', 'rest', 'area', 'level', 'raise', 'bore', 'suffer', 'sudden', 'illness', 'fall', 'suffer', 'excoriation', 'face']",employee sit rest area level raise bore suffer sudden illness fall suffer excoriation face
9,2016-01-26,1,6,1,1,2,1,2,4,"At the moment the forklift operator went to manipulate big bag of bioxide in section 70 and just in front of the ladder that leads to the area of ​​manual displacement, he splashed spent at the height of his forehead from a fissure in pipe G -069, subsequently spilling to his left eye. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",1,1,26,6,3,3,1,"['moment', 'forklift', 'operator', 'manipulate', 'big', 'bag', 'bioxide', 'section', 'front', 'ladder', 'lead', 'area', 'manual', 'displacement', 'splash', 'spend', 'height', 'forehead', 'fissure', 'pipe', 'subsequently', 'spill', 'leave', 'eye', 'collaborator', 'nearby', 'eyewash', 'clean', 'immediately', 'medical', 'center']",moment forklift operator manipulate big bag bioxide section front ladder lead area manual displacement splash spend height forehead fissure pipe subsequently spill leave eye collaborator nearby eyewash clean immediately medical center
