,Level,input_text_clean
0,4,pressed removing drill rod jumbo maintenance supervisor proceeds loosen support intermediate centralizer facilitate removal seeing mechanic support one end drill equipment pull hand bar accelerate removal moment bar slide point support tightens finger mechanic drilling bar beam jumbo
1,4,pressurized system activation sodium sulphide pump piping uncoupled sulfide solution designed area reach maid immediately made use emergency shower directed ambulatory doctor later hospital note sulphide solution gram liter
2,3,manual tool sub station milpo located level collaborator excavation work pick hand tool hitting rock flat part beak bounce hitting steel tip safety shoe metatarsal area left foot collaborator causing injury
3,1,others approximately personnel begin task unlocking soquet bolt bhb machine penultimate bolt identified hexagonal head worn proceeding cristobal auxiliary assistant climb platform exert pressure hand dado key prevent coming bolt moment two collaborator rotate lever anti clockwise direction leaving key bolt hitting palm left hand causing injury
4,4,others approximately circumstance mechanic anthony group leader eduardo eric fernandez injured three company impromec performed removal pulley motor pump zaf marcy length weight locked proceed heating pulley loosen come fall distance meter high hit instep right foot worker causing injury described
5,3,pressurized system unloading operation ustulado bag need unclog discharge mouth silo truck performing procedure maneuver unhooking hose without total depressurisation mouth projecting ustulado powder collaborator caused irritation eye
6,3,fall prevention level collaborator report street holding left hand volumetric balloon slipped placing hand ground volumetric balloon ended breaking caused small wound left hand
7,3,pressed approximately mechanic technician jose tecnomin verified transmission belt pump acid plant proceeded turn pulley manually unexpectedly instant electrician supervisor miguel eka mining grab transmission belt verify tension point finger trap
8,4,others employee sitting resting area level raise bore suffered sudden illness falling suffering excoriation face
9,2,chemical substance moment forklift operator went manipulate big bag bioxide section front ladder lead area manual displacement splashed spent height forehead fissure pipe subsequently spilling left eye collaborator went nearby eyewash cleaning immediately medical center
10,3,others installing segment polyurethane pulley protective lyner weighing head pulley ore winch pulley rotated compress lyner inside channel fall housing rubbing right side worker hip generating injury described
11,4,others preparing rice lunch day moving pot weight including content evacuate residual water cooking rice positioning pot jaba tilt backwards spilling hot water cook leg cook immediately event applies first aid pouring cold water area injury medical post evaluation
12,1,liquid metal collaborator report working ustulacion realized cyclone duct obstructed opened door try unclog material detached projected towards employee causing small burn right heel
13,5,electrical installation moment operator jumbo tried energize equipment proceed installation split set intersection remove lock opening electric board lifting thermomagnetic key make phase ground phase contact panel shell producing flash reach operator causing injury described
14,3,confined space due accumulation waelz conveyor trailer filter employee performed cleaning shutter using air lance surprised fall product door passing neck collar aramid jacket causing burn neck shoulder
15,4,liquid metal employee working thermal shock caused splash zinc direction employee despite using indicated ppe hit small spatter passed facila hood small burn face region
16,4,others level circumstance worker company performing task diamond drilling assistant jhonatan injured nilton preparing increase perforation pipe located scaffolding jhonatan lift one end tube support pulley equipment frame end working scaffolding moment nilton lift end pipe scaffolding position frame upper part pipe come pulley falling striking right hand worker jhonatan bolt lateral part frame causing injury described
17,2,others due overheating bar row cell spark produced projected manages reach chief guard corridor producing first degree burn neck
18,2,others auxiliary wheel cathode crane changed area bearing heated hit hammer chisel one end bearing track detachment bearing piece occurred impacting thigh right leg producing cut ambulance called transferred clinic
19,3,others worker manuel making disconnection power cable gate intersection manco street cajamarquilla order remove circumstance jose worker company removing rope tied body gate yield fall pulling warning post hit helmet standing side
20,2,others operator samuel open container subsequent loading silver concentrate opened first gate afterwards try open second door product opening latter first one open impact handle safety lens generates injury left cheekbone face operator
21,4,others raise chamber operator assistant removed drilling bar drilling machine weight approx holding top stroke assisted jib move horizontally operator jib bottom slide moving top drill bar causing assistant bar enforce assistant hand bar piston equipment
22,4,others aligning right bracket tower releasing tension applied tirford pushing lever towards tension release point return mechanical effect overcoming resistance lineman operator reshaping hand assistant beating assistant frontal region
23,2,others loosening truck steering cylinder bolt using power cable socket force exerted favor equipment bolt suddenly retired employee hit hand structure equipment causing injury
24,2,others operator deslaminadora section unlocking sheet zinc stuck enter slide stacking table requires support mollares help hold sheet place entry chute slide moment releasing blade tilted brushed mollares left leg collaborator went nearby eyewash cleaning immediately medical center
25,2,manual tool operator willing manually displace zinc sheet adhered aluminum cathode moment blade detached blade released cathode bending grazing collaborator right hand producing small cut knuckle finger worker made use glove leather worker transferred medical unit first aid
26,1,others end lunch enabled place side winche control room get short walk slip sits floor making contact left knee taking importance rest guard guard finished safety communicates fact reason derived natclar attention
27,3,others end rock break intersection ramp opening access ventilation chimney master loader identifies rock mesh proceeding unload end decides verify still remains positioning line fire time fragment rock fall cocada mesh impacting lens helmet causing injury
28,4,others worker carried work level stop placed metal mesh basket soil half scissor mesh fall hit back right hand
29,3,others using griff wrench unscrew rod probe key came move pressing employee finger probe
30,2,others plant operator semi kneeling lifting lid gate distributor box secondary mill right knee slip due presence debris spilled platform floor grating gave extra effort left leg generating muscle contracture
31,2,others level access time engineer trainee planamieto entered verify amount split set placed scissor support holding notebook pen left hand inspecting roof work lost balance stepping rock holding right hand rock floor causing injury worker time accident wore glove use made difficult take note
32,4,others worker yaranga working barretilla stop level unloading metal mesh basket ampoloader operator juan barretilla embedded safety boot reacting immediately worker removing limb force managing release foot producing wound right foot
33,5,others approximately circumstance shotcrete launched finishing launch first mixkret assistant alpha albertico asks operator mixkret jhony move mixkret access finding cockpit mixkret operator launcher team danon asks come team started noticed danon injured imprisoned team height left rear rim hastial labor
34,2,others employee clearing pipe tapped right thumb flange causing little trauma
35,3,pressed replacing telescopic expansion joint hdpe pipe storm drainage pumping system report piece involuntarily moved positioned holder pressing finger holder causing wound right chemo
36,4,others withdrawal kelly bar conductive bar length diameter equipment perforation part two worker one positioned low part tie bar injured one position upper part hold bar positioning bar platform lose control bar moving finger right hand pulley frame time accident worker wearing safety glove drill rig blocked
37,5,others starting activity removing coil electric cable warehouse help forklift truck operator notice beehive due movement coil bee excited realizing fact operator turned equipment left area people passing stung
38,5,others starting activity removing coil electric cable warehouse help forklift truck operator notice beehive due movement coil bee excited realizing fact operator turned equipment left area people passing stung
39,4,others pre use inspection jumbo check list equipment operator equipment find behind seat plastic bottle filled liquid apparently mineral water without label labeling take bottle take small sip liquid expelling immediately noticing water immediately proceeds wash enough water transferred medical center attention liquid contact esengrasante product equipment machinery low toxicity
40,4,others maintenance flyght pump rotor oil pressure lubrication chamber caused chamber cover projected towards employee face striking superficially forehead causing injury
41,4,pressurized system chemical substance approx leakage sulfur dioxide section due water seal blowing due overpressure acid plant moment collaborator cormei company eissa cosapi work near impacted area evacuated medical center care returned usual work
42,3,others performing cutting mesh protruding gable work assistant loader positioned floor using portable ladder held base master loader time loader assistant loses balance falling held mesh hand hanging floor causing injury
43,3,pressed operator center demag performing maintenance transporting hydraulic cylinder help another operator official unbalanced coming cylinder carried press finger left thumb pillar support oven specified figure
44,3,blocking isolation energy start neutral leaching process employee jhonatan proceeds open air valve tank airlift circumstance process solution return chimney solution coming contact arm right foot
45,3,others time two assistant carrying bag cement weighing lamp loader suspended floor left foot one assistant slid hit edge baton
